A serious and good philosophical work could be written consisting entirely of jokes.<|>Wittgenstein
The limits of my language means the limits of my world.<|>Wittgenstein
I don't know why we are here, but I'm pretty sure that it is not in order to enjoy ourselves.<|>Wittgenstein
Whereof one cannot speak, thereof one must be silent.<|>Wittgenstein
Hell isn't other people. Hell is yourself.<|>Wittgenstein
The real question of life after death isn't whether or not it exists, but even if it does what problem this really solves.<|>Wittgenstein
Nothing is so difficult as not deceiving oneself.<|>Wittgenstein
I am my world.<|>Wittgenstein
If people never did silly things nothing intelligent would ever get done.<|>Wittgenstein
Only describe, don't explain.<|>Wittgenstein
A man will be imprisoned in a room with a door that's unlocked and opens inwards; as long as it does not occur to him to pull rather than push.<|>Wittgenstein
If we take eternity to mean not infinite temporal duration but timelessness, then eternal life belongs to those who live in the present.<|>Wittgenstein
Death is not an event in life: we do not live to experience death. If we take eternity to mean not infinite temporal duration but timelessness, then eternal life belongs to those who live in the present. Our life has no end in the way in which our visual field has no limits.<|>Wittgenstein
Don'<|>Wittgenstein
The problems are solved, not by giving new information, but by arranging what we have known since long.<|>Wittgenstein
Not how the world is, but that it is, is the mystery.<|>Wittgenstein
Never stay up on the barren heights of cleverness, but come down into the green valleys of silliness.<|>Wittgenstein
Philosophy is a battle against the bewitchment of our intelligence by means of language.<|>Wittgenstein
We are asleep. Our Life is a dream. But we wake up sometimes, just enough to know that we are dreaming.<|>Wittgenstein
How small a thought it takes to fill a life.<|>Wittgenstein
If you and I are to live religious lives, it mustn't be that we talk a lot about religion, but that our manner of life is different. It is my belief that only if you try to be helpful to other people will you in the end find your way to God.<|>Wittgenstein
We feel that even if all possible scientific questions be answered, the problems of life have still not been touched at all.<|>Wittgenstein
To imagine a language is to imagine a form of life.<|>Wittgenstein
I act with complete certainty. But this certainty is my own.<|>Wittgenstein
When we can't think for ourselves, we can always quote<|>Wittgenstein
What can be shown, cannot be said.<|>Wittgenstein
